1,3244,1608,540,1061,3333,2907,2260,3639,1783,1730
2,762,959,561,270,2887,1577,3469,1344,688,3
3,1711,1730,2292,2707,450,860,3639,2914,2429,2435
4,1061,2907,3344,574,2156,2002,2438,78,2260,3487
5,2260,182,3502,3877,3639,3333,1032,3318,1876,1575
6,3639,2260,688,3,2438,2065,1883,1934,3123,1730
7,2292,1711,2065,2429,1462,2707,1608,66,49,1237
8,3639,1711,1485,1785,2461,1730,561,3337,182,3344
9,1876,3430,270,2556,981,2887,3080,824,1872,2065
10,1414,3284,709,49,1237,1485,2479,959,78,1413
11,2065,981,2292,2517,1711,2429,3272,270,2489,231
12,3284,1785,1902,2438,688,3344,270,43,1883,78
13,2907,2438,3344,3599,3272,668,2884,688,775,1032
14,3639,775,3344,28,2438,439,3539,2907,78,1462
15,2525,270,688,2065,25,3,3123,1032,2884,3599
16,270,182,231,1876,376,1414,3344,959,2260,1485
17,3639,2429,3272,334,182,2260,3599,2044,2778,1462
18,270,231,182,981,959,654,1977,2429,2489,3
19,1902,2520,2975,3080,231,1977,2556,3244,981,270
20,49,2065,1462,1711,270,981,932,66,1344,2392
21,3244,3430,270,688,775,1577,561,3123,2438,1876
22,2292,3415,2260,3332,1356,1211,1876,1950,2065,3080
23,1902,668,2975,860,2520,2887,3469,231,824,1339
24,2438,2556,1902,688,3284,270,1934,3080,1977,2520
25,1462,1934,775,3396,28,2410,1883,2449,3539,2438
26,2435,2392,376,231,2044,2376,2887,2520,1613,3344
27,2907,2292,1950,2148,3415,1,3481,66,3347,1207
28,2044,3332,231,3617,2065,182,2489,701,450,1575
29,1730,860,561,3639,2435,3337,762,2461,2427,1575
30,2907,1902,2438,775,574,1061,1711,540,78,860
31,2292,2914,3469,3344,3639,3253,3814,3396,654,1414
32,2260,3080,1061,2907,2520,2712,66,1211,2414,1876
33,49,270,3332,2065,981,3080,1413,932,450,3
34,981,1876,1711,1413,231,270,2712,932,3318,2392
35,2907,2376,574,66,540,2707,775,231,3016,1876
36,1711,49,2044,2065,1462,3,3272,66,2427,2707
37,2292,2065,2556,3396,981,2820,3080,49,2414,3386
38,3284,688,1876,376,2438,2260,270,1883,3244,3080
39,3,2179,762,1730,2707,3333,3872,2907,2435,2525
40,3,3123,2065,1785,270,2525,3599,2014,3469,3332
41,860,1902,2520,1413,2975,762,3386,981,2438,1977
42,2292,3,2707,1730,2429,2525,1608,1577,2907,3639
43,762,3253,860,775,1730,1261,1608,2604,1949,2887
44,3639,775,3244,2449,3430,439,762,3539,1730,3123
45,654,3253,1413,1211,959,3539,2814,2260,3332,3318
46,2260,3332,1032,1876,959,2065,2785,2438,3539,3318
47,231,270,2435,376,2489,1485,1876,2288,3617,2517
48,1977,270,3599,1902,2556,2429,2517,376,1785,3825
49,1,3730,1061,688,3244,2907,3072,654,3080,1876
